,Adipose Tissue,Adrenal Gland,Bladder,Blood,Blood Vessel,Bone Marrow,Brain,Breast,Cervix Uteri,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Salivary Gland,Skin,Small Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina
704,,,,GTEX-11ILO-0006-SM-5LZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,,,,GTEX-11LCK-0002-SM-58Q7P,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,,,,GTEX-11LCK-0002-SM-5DWRA,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,,,,GTEX-11LCK-0002-SM-6WBSW,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,,,,GTEX-11LCK-0005-SM-5O98U,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,,,,GTEX-11NSD-0005-SM-5LZZ5,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,,,,GTEX-11NUK-0004-SM-58Q87,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,,,,GTEX-11NUK-0004-SM-5DWSZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,,,,GTEX-11NUK-0004-SM-6WBTU,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,,,,GTEX-11NUK-0005-SM-5MR5F,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,,,,GTEX-11NV4-0001-SM-58Q86,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,,,,GTEX-11NV4-0001-SM-5DWSY,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,,,,GTEX-11NV4-0001-SM-6WBTT,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,,,,GTEX-11NV4-0005-SM-5N9EX,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,,,,GTEX-11O72-0006-SM-5O9DB,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,,,,GTEX-11OC5-0004-SM-5S2O6,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,,,,GTEX-11OC5-0006-SM-5N9FA,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,,,,GTEX-11OF3-0006-SM-5O9CM,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,,,,GTEX-11ONC-0003-SM-5DWT5,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,,,,GTEX-11ONC-0005-SM-5O9CY,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,,,,GTEX-11P7K-0002-SM-58Q9D,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,,,,GTEX-11P7K-0002-SM-5DWTW,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,,,,GTEX-11P7K-0002-SM-6WBUI,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,,,,GTEX-11P7K-0003-SM-5S2OU,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,,,,GTEX-11P7K-0006-SM-5N9FM,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,,,,GTEX-11P81-0002-SM-58Q88,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,,,,GTEX-11P81-0002-SM-5DWT1,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,,,,GTEX-11P81-0002-SM-6WBTV,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,,,,GTEX-11P81-0006-SM-5NQ7A,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,,,,GTEX-11P82-0003-SM-58Q7E,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,,,,GTEX-11P82-0003-SM-5DWRC,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,,,,GTEX-11P82-0003-SM-6WBSX,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,,,,GTEX-11P82-0006-SM-5N9FY,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,,,,GTEX-11PRG-0004-SM-58Q9A,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,,,,GTEX-11PRG-0004-SM-5DWRB,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,,,,GTEX-11PRG-0004-SM-6WBUN,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,,,,GTEX-11PRG-0005-SM-5NQ6X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,GTEX-11TT1-0001-SM-58Q8E,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,,,,GTEX-11TT1-0001-SM-5DWT7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,,,,GTEX-11TT1-0001-SM-6WBTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,,,,GTEX-11TT1-0004-SM-5S2NT,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,,,,GTEX-11TT1-0005-SM-5NQ8Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,,,,GTEX-11TTK-0002-SM-58Q8B,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,,,,GTEX-11TTK-0002-SM-5DWT4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,,,,GTEX-11TTK-0002-SM-6WBTX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,,,,GTEX-11TTK-0005-SM-5O9BX,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,,,,GTEX-11TUW-0004-SM-58Q8F,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,,,,GTEX-11TUW-0004-SM-5DWT8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,,,,GTEX-11TUW-0004-SM-6WBU1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,,,,GTEX-11TUW-0004-SM-7FG6E,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,,,,GTEX-11TUW-0006-SM-5LZW2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,,,,GTEX-11UD1-0001-SM-58Q8D,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,,,,GTEX-11UD1-0001-SM-5DWT6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,,,,GTEX-11UD1-0001-SM-6WBTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,,,,GTEX-11UD2-0001-SM-58Q8A,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,,,,GTEX-11UD2-0001-SM-5DWT3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,,,,GTEX-11UD2-0001-SM-6WBTW,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,,,,GTEX-11UD2-0005-SM-5NQ9B,,,,,,,,,,,,,,,,,,,,,,,,,,,
